golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Brunswick Plantation - Dogwood-Azalea,18,United States,North Carolina,Calabash,33.9470091,-78.5784298,12,10,14,18,6,2,8,16,4,5,17,11,13,9,7,15,1,3,4,4,4,3,5,4,3,5,4,4,3,4,3,5,4,4,4,5,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red
Brunswick Plantation - Azalea-Magnolia,18,United States,North Carolina,Calabash,33.9470091,-78.5784298,6,18,12,14,10,8,16,2,4,3,7,13,17,1,11,15,9,5,4,3,4,3,5,4,4,4,5,4,5,4,3,4,5,3,4,4,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red
Torekovs Golf Club,18,Sweden,Smaland,Torekovs,56.4385763,12.6428225,9,1,15,5,17,11,3,7,13,8,14,4,10,2,18,12,16,6,5,4,3,4,4,5,3,4,4,3,3,5,4,4,4,4,4,3,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red
Aberdeen GC - Meadows-Woodland,18,United States,South Carolina,Longs,33.9283575,-78.7248579,8,3,7,9,5,6,1,4,2,12,13,10,11,18,15,16,17,14,4,5,4,3,4,4,5,3,4,4,4,5,4,3,4,4,3,5,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold,Blue|White|Gold
Aberdeen GC - Woodlands-highlands,18,United States,South Carolina,Longs,33.9283575,-78.7248579,5,7,1,3,17,11,13,15,9,8,12,16,14,2,10,18,6,4,4,4,5,4,3,4,4,3,5,5,4,3,4,5,4,3,4,4,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red
Aberdeen GC - Highlands-Meadows,18,United States,South Carolina,Longs,33.9283575,-78.7248579,4,6,8,7,1,5,9,3,2,17,12,16,18,14,15,10,13,11,5,4,3,4,5,4,3,4,4,4,5,4,3,4,4,5,3,4,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red
Diamond Back,18,United States,South Carolina,Loris,34.0534275,-78.8371138,15,5,11,13,3,1,7,9,17,2,10,18,14,8,4,6,12,16,4,5,4,3,4,4,5,3,4,5,4,3,4,4,5,3,4,4,Blue|Black|Gold|Red,Blue|Black|Gold|Red,Blue|Black|Gold|Red,Blue|Black|Gold|Red,Blue|Black|Gold|Red,Blue|Black|Gold|Red,Blue|Black|Gold|Red,Blue|Black|Gold|Red,Blue|Black|Gold|Red,Blue|Black|Gold|Red,Blue|Black|Gold|Red,Blue|Black|Gold|Red,Blue|Black|Gold|Red,Blue|Black|Gold|Red,Blue|Black|Gold|Red,Blue|Black|Gold|Red,Blue|Black|Gold|Red,Blue|Black|Gold|Red
Sea Trail Byrd,18,United States,North Carolina,Sunset beach,33.9115118,-78.517395,13,15,3,1,7,11,17,9,5,4,8,16,2,6,12,18,10,14,4,3,5,4,4,4,3,4,5,4,4,3,5,4,4,3,4,5,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White
Sea Trail Maples,18,United States,North Carolina,Sunset beach,33.9115118,-78.517395,13,5,17,1,15,9,3,7,11,6,18,10,14,4,2,12,16,8,4,4,3,5,3,5,4,4,4,4,3,5,4,4,5,4,3,4,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White
Sea Trail Jones,18,United States,North Carolina,Sunset beach,33.9115118,-78.517395,15,17,3,9,13,7,11,1,5,8,14,12,16,6,2,10,18,4,4,3,4,4,3,4,4,5,5,4,4,4,3,4,5,4,3,5,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White,Blue|White
The Pearl Golf - West,18,United States,North Carolina,Calabash,33.8939906,-78.5404406,9,5,13,17,1,15,11,7,3,12,16,8,18,6,4,2,14,10,4,3,5,3,4,4,5,3,4,4,4,4,3,5,4,5,3,5,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red
The pearl Golf - East,18,United States,North Carolina,Calabash,33.8939906,-78.5404406,9,5,17,7,11,1,3,15,13,12,14,16,8,18,6,10,4,2,5,3,4,4,3,4,4,4,5,4,4,3,5,3,4,4,4,5,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red,Black|Blue|White|Gold|Red
Sandpiper Bay - Sand-Piper,18,United States,North Carolina,Sunset beach,33.9177177,-78.5150275,6,16,10,4,8,14,12,18,2,7,5,11,17,13,15,3,9,1,5,3,4,4,5,3,4,3,4,4,5,3,5,4,3,5,3,4,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold
Sandpiper Bay - Piper-Bay,18,United States,North Carolina,Sunset beach,33.9177177,-78.5150275,7,5,11,17,13,15,3,9,1,12,4,10,18,14,16,6,2,8,4,5,3,5,4,3,5,3,4,5,4,3,4,3,4,4,4,5,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold
Sandpiper Bay - Bay-Sand,18,United States,North Carolina,Sunset beach,33.9177177,-78.5150275,11,3,9,17,13,15,5,1,7,6,16,10,4,8,14,12,18,2,5,4,3,4,3,4,4,4,5,5,3,4,4,5,3,4,3,4,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold
Crown Park,18,United States,South Carolina,Longs,33.9907132,-78.7597277,17,7,1,3,13,11,5,15,9,10,12,6,16,18,2,8,4,14,4,4,4,3,4,5,4,3,5,4,5,4,3,4,5,4,4,3,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold,Black|White|Gold
EQ Douglasdale Golf Club,18,Canada,Alberta,Calgary,50.9440775,-114.0041241,4,14,8,6,12,2,18,16,10,13,17,11,15,3,9,5,1,7,5,3,3,3,3,5,4,5,4,5,3,5,3,5,3,3,4,4,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red
