golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18,Phone Number,Email address,Course Rating Men ,Slope Rating Men,Course Rating Women,Slope Rating Women
Dallas Country Club,18,USA ,Texas,Dallas,32.8365036,96.8019589,17,9,7,3,5,15,11,1,13,6,18,2,4,10,16,14,12,8,4,5,3,5,4,3,4,4,3,4,5,4,4,4,3,3,4,4,Black|White|Red,Black|White|Red,Black|White|Red,Black|White|Red,Black|White|Red,Black|White|Red,Black|White|Red,Black|White|Red,Black|White|Red,Black|White|Red,Black|White|Red,Black|White|Red,Black|White|Red,Black|White|Red,Black|White|Red,Black|White|Red,Black|White|Red,Black|White|Red,(214) 521-3520,info@thedallascc.org,,,,
Dallas National Golf Club,18,USA ,Texas,Dallas,32.7348628,96.9028028,16,4,18,2,10,6,17,8,12,3,11,9,17,15,5,1,13,7,4,5,3,5,3,4,4,4,4,5,4,4,3,4,4,4,3,5,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,(214) 331-4195,ddenley@dallasnationalgolfclub.com,,,,
Keeton Park Golf Course,18,USA ,Texas,Dallas,32.7561545,96.7060769,7,15,1,5,13,3,9,17,11,14,16,10,4,18,2,8,6,12,4,3,5,4,4,5,4,3,4,4,3,4,5,3,4,4,4,5,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,(214) 670-8784,keetonpark@hotmail.com,,,,
L.B. Houston,18,USA ,Texas,Dallas,32.8887616,96.920485,12,2,14,16,6,8,10,18,4,13,3,11,17,7,15,9,1,5,4,5,4,3,4,4,4,3,5,4,5,4,3,4,3,4,5,4,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,214-670-6322,,,,,
LUNA VISTA,18,USA ,Texas,Dallas,32.888389,96.92335,12,2,16,14,6,8,10,18,4,13,3,11,17,7,15,9,1,5,4,5,3,4,4,4,4,3,5,4,5,4,3,4,3,4,5,4,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,,,,,,
Northwood Club,18,USA ,Texas,Dallas,32.9324028,96.7935745,13,1,7,5,17,11,9,3,15,12,2,18,16,8,4,14,10,6,4,5,4,4,3,5,4,4,3,4,4,3,4,5,4,3,4,4,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,(972) 934-0544,cell607678@aol.com,,,,
Prestonwood Country Club - The Creek,18,USA ,Texas,Dallas,32.9616326,96.8103155,5,17,9,13,1,7,3,15,11,8,4,14,18,10,2,12,16,6,4,3,4,4,5,4,4,3,4,4,4,4,3,4,5,5,3,4,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,(972) 239-7111,sonia_poonja@prestonwoodcc.org,,,,
Prestonwood Country Club - The Hills,18,USA ,Texas,Dallas,32.9616326,96.8103155,13,11,3,17,5,1,7,15,9,14,2,18,4,8,16,6,10,12,4,4,5,3,4,4,5,3,4,4,5,3,5,4,3,4,4,4,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,(972) 239-7112,sonia_poonja@prestonwoodcc.org,,,,
Stevens Park Golf Course,18,USA ,Texas,Dallas,32.756203,96.847238,7,17,9,15,5,1,13,11,3,16,6,8,18,12,4,2,10,14,4,4,4,3,5,4,3,4,5,4,3,5,4,4,4,3,4,4,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,(214) 670-7506,stevensparkgolf@yahoo.com,,,,
Tenison Park,18,USA ,Texas,Dallas,32.7994723,96.7348521,3,1,17,7,15,13,9,11,5,12,16,10,8,2,14,18,6,4,5,5,3,4,4,3,4,4,4,4,3,4,4,5,4,3,4,5,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,(214) 670-1402,,,,,
The Golf Club of Dallas,18,USA ,Texas,Dallas,32.6702066,96.8535074,9,11,17,5,7,1,13,15,3,2,16,10,14,12,6,8,18,4,4,5,3,4,4,4,3,4,4,4,4,4,3,5,4,4,3,4,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,Black| Blue| White|Red,2143333595,,,,,
